food_code,food_name,wweia_cat_num,wweia_cat_name,energy_kcal,carb_g,fiber_g,sugar_g,fat_g,sat_fat_g,protein_g,cholesterol_mg,portion_desc,portion_weight_g,energy_kcal_per_serving,carb_g_per_serving,fiber_g_per_serving,sugar_g_per_serving,fat_g_per_serving,sat_fat_g_per_serving,protein_g_per_serving,high_carb,high_sugar,low_fiber,high_sat_fat,diabetes_flag,ada_risk_level,source
11710980,"Infant formula, store brand, added rice",9404,"Formula, prepared from powder",65,7.17,0.0,7.08,3.36,1.811,1.49,0,1 fl oz,30.5,19.8,2.2,0.0,2.2,1.0,0.6,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720311,"Infant formula, Enfamil ProSobee, ready-to-feed",9402,"Formula, ready-to-feed",66,7.07,0.0,6.86,3.49,1.462,1.64,0,1 fl oz,30.5,20.1,2.2,0.0,2.1,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720317,"Infant formula, Enfamil ProSobee, powder, made with tap water",9404,"Formula, prepared from powder",66,7.07,0.0,6.86,3.49,1.462,1.64,0,1 fl oz,30.5,20.1,2.2,0.0,2.1,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720318,"Infant formula, Enfamil ProSobee, powder, made with bottled water",9404,"Formula, prepared from powder",66,7.07,0.0,6.86,3.49,1.462,1.64,0,1 fl oz,30.5,20.1,2.2,0.0,2.1,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720319,"Infant formula, Enfamil ProSobee, powder, made with baby water",9404,"Formula, prepared from powder",66,7.07,0.0,6.86,3.49,1.462,1.64,0,1 fl oz,30.5,20.1,2.2,0.0,2.1,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720411,"Infant formula, Similac Isomil Soy, ready-to-feed",9402,"Formula, ready-to-feed",65,6.73,0.0,6.65,3.53,1.151,1.58,0,1 fl oz,30.5,19.8,2.1,0.0,2.0,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720417,"Infant formula, Similac Isomil Soy, powder, made with tap water",9404,"Formula, prepared from powder",65,6.73,0.0,6.65,3.53,1.151,1.58,0,1 fl oz,30.5,19.8,2.1,0.0,2.0,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720418,"Infant formula, Similac Isomil Soy, powder, made with bottled water",9404,"Formula, prepared from powder",65,6.73,0.0,6.65,3.53,1.151,1.58,0,1 fl oz,30.5,19.8,2.1,0.0,2.0,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720419,"Infant formula, Similac Isomil Soy, powder, made with baby water",9404,"Formula, prepared from powder",65,6.73,0.0,6.65,3.53,1.151,1.58,0,1 fl oz,30.5,19.8,2.1,0.0,2.0,1.1,0.4,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
11720430,"Infant formula, Similac for Diarrhea",9402,"Formula, ready-to-feed",66,6.67,0.7,6.66,3.6,1.477,1.76,0,1 fl oz,30.5,20.1,2.0,0.2,2.0,1.1,0.5,0.5,False,False,True,False,0,low,USDA FNDDS 2021-2023
